Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2022-03-10T14:59:00Z,BTCUSDT,0,-0.0235785,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-10T15:34:00.0000000Z 
2022-03-10T14:59:00Z,BTCUSDT,39046.97,-0.0235785,Stop Limit,Filled,-920.6689821,Stop Market 
2022-03-10T16:13:00Z,BTCUSDT,39142.29,-0.02350614,Market,Filled,-920.0841487, 
2022-03-10T16:13:00Z,BTCUSDT,0,0.02350614,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-10T19:52:00.0000000Z 
2022-03-10T16:13:00Z,BTCUSDT,39416.29,0.02350614,Stop Limit,Filled,926.524831,Stop Market 
2022-03-10T22:02:00Z,BTCUSDT,39288.68,-0.02323815,Market,Filled,-912.9962391, 
2022-03-10T22:02:00Z,BTCUSDT,0,0.02323815,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-10T23:11:00.0000000Z 
2022-03-10T22:02:00Z,BTCUSDT,39527.07,0.02323815,Stop Limit,Filled,918.5359817,Stop Market 
2022-03-11T00:13:00Z,BTCUSDT,39380.59,-0.0230274,Market,Filled,-906.8325982, 
2022-03-11T00:13:00Z,BTCUSDT,38671.74,0.0230274,Limit,Filled,890.5096257,Top Profit Limit 
2022-03-11T00:13:00Z,BTCUSDT,0,0.0230274,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-11T01:30:00.0000000Z 
2022-03-11T04:00:00Z,BTCUSDT,38718.4,0.02383259,Market,Filled,922.7597527, 
2022-03-11T04:00:00Z,BTCUSDT,0,-0.02382305,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-11T04:24:00.0000000Z 
2022-03-11T04:00:00Z,BTCUSDT,38482.97,-0.02382305,Stop Limit,Filled,-916.7817185,Stop Market 
2022-03-11T04:52:00Z,BTCUSDT,38516.63,-0.02378659,Market,Filled,-916.179286, 
2022-03-11T04:52:00Z,BTCUSDT,0,0.02378659,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-11T05:40:00.0000000Z 
2022-03-11T04:52:00Z,BTCUSDT,38751.28,0.02378659,Stop Limit,Filled,921.7608093,Stop Market 
2022-03-11T05:40:00Z,BTCUSDT,38720.54,0.02350974,Market,Filled,910.3098281, 
2022-03-11T05:40:00Z,BTCUSDT,39417.51,-0.02350033,Limit,Filled,-926.3244928,Top Profit Limit 
2022-03-11T05:40:00Z,BTCUSDT,0,-0.02350033,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-11T11:32:00.0000000Z 
2022-03-11T13:34:00Z,BTCUSDT,39588.92,-0.02337555,Market,Filled,-925.4127789, 
2022-03-11T13:34:00Z,BTCUSDT,38876.32,0.02337555,Limit,Filled,908.755362,Top Profit Limit 
2022-03-11T13:34:00Z,BTCUSDT,0,0.02337555,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-11T16:06:00.0000000Z 
2022-03-11T19:39:00Z,BTCUSDT,38855.03,0.02423258,Market,Filled,941.5576229, 
2022-03-11T19:39:00Z,BTCUSDT,0,-0.02422288,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-11T20:32:00.0000000Z 
2022-03-11T19:39:00Z,BTCUSDT,38597.92,-0.02422288,Stop Limit,Filled,-934.9527844,Stop Market 
